No,Nama,SINTA ID,Rank National,Rank Affiliation,Sinta Score,Scopus,Scholar
0,Rarastoeti Pratiwi,257321,2653,299,7.66,8,91
1,Yekti Asih Purwestri,21472,960,115,15.39,6,34
2,Woro Anindito Sri Tunjung,6021239,4337,447,4.73,8,38
3,Endang Semiarti,5973460,121,10,47.51,24,164
4,Ari Indrianto,6142358,61889,1849,0.0,0,0
5,Eko Agus Suyono,42920,3349,364,6.2,17,50
6,Aries Bagus Sasongko,6017558,38327,1523,0.04,0,8
7,Matin Nuhamunada,6014421,10967,845,1.37,3,5
8,Suwarno Hadisusanto,6017929,5524,538,3.61,8,130
9,Tjut Sugandawaty Djohan,6015983,5002,501,4.04,3,124
10,Retno Peni Sancayaningsih,6004198,9819,782,1.65,5,103
11,Andhika Puspito Nugroho,5976983,5663,545,3.51,6,17
12,Siti Nurleily Marliana,42922,15906,1018,0.7,2,7
13,Mukhlish Jamal Musa Holle,6014471,86445,2070,0.0,0,2
14,Niken Satuti Nur Handayani,5973470,6340,584,3.05,8,81
15,Budi Setiadi Daryono,21420,1140,135,13.59,32,296
16,Tuty Arisuryanti,43298,23785,1232,0.25,1,23
17,Ganies Riza Aristya,5973150,72672,1967,0.0,0,3
18,Endah Retnaningrum,42921,12241,892,1.16,4,38
19,Purnomo,257625,91174,2106,0.0,0,0
20,Rina Sri Kasiamdari,6003781,4670,478,4.37,6,78
21,Heri Sujadmiko,6017931,74802,1980,0.0,0,21
22,Ratna Susandarini,5991537,7554,657,2.4,5,24
23,Ludmilla Fitri Untari,5986653,31661,1408,0.09,0,10
24,Abdul Razaq Chasani,6014438,57605,1795,0.0,0,3
25,Laurentius Hartanto Nugroho,5977709,1321,159,12.26,16,72
26,Suharyanto,6017954,24542,1259,0.22,0,18
27,Maryani,6016534,2697,304,7.57,4,13
28,Sutikno,6038294,55863,1770,0.01,0,2
29,Siti Susanti,6038161,55418,1761,0.01,0,2
30,Sudjino,6017962,7413,647,2.47,0,97
31,Diah Rachmawati,6014449,3494,378,5.93,7,58
32,Kumala Dewi,5976559,4425,454,4.64,12,91
33,Dwi Umi Siswanti,6000546,44965,1637,0.02,0,9
34,Tri Joko,21491,5289,522,3.8,5,44
35,Bambang Agus Suripto,6043922,8944,741,1.89,2,35
36,Rury Eprilurahman,6000808,7526,654,2.41,5,41
37,Ratih Aryasari,6006315,33259,1435,0.08,0,2
38,Donan Satria Yudha,5981593,12309,895,1.14,3,19
39,Rr Upiek Ngesti Wibawaning A,6014643,22591,1201,0.29,1,18
40,Soenarwan Hery Poerwanto,6014439,17353,1055,0.57,2,46
41,Dila Hening Windyaraini,6014567,67245,1915,0.0,0,2
42,Johanes Sugiyanto,6014525,28306,1343,0.14,0,17
43,Ardaning Nuriliani,6037774,49502,1692,0.01,0,26
44,Susilohadi,6015704,4997,500,4.04,4,8
45,Zuliyati Rohmah,5988050,8750,730,1.95,4,27
46,Bambang Retnoaji,30059,4497,464,4.55,9,44
47,Hendry TSSG Saragih,258288,7122,639,2.6,5,17
48,Luthfi Nurhidayat,5973466,17776,1067,0.54,2,8
49,Mulyati,6025299,35895,1481,0.06,0,39
50,Slamet Widiyanto,5973465,47865,1674,0.02,0,18
51,Laksmindra Fitria,5976833,27568,1331,0.15,0,34
52,Rahadian Yudo Hartantyo,5976774,91798,2112,0,0,1
53,R C Hidayat Soesilohadi,6014250,21681,1175,0.33,0,39
54,Siti Sumarmi,6015468,47843,1673,0.02,0,19
55,Sukirno,43311,8510,718,2.03,5,5
56,Ignatius Sudaryadi,5976838,76651,1998,0,0,0
