No,Nama,SINTA ID,Rank National,Rank Affiliation,Sinta Score,Scopus H-Index,Google H-Index,Scopus Art.,Scopus Cit.,Scholar Art.,Scholar Cit.
0,Rarastoeti Pratiwi,257321,2679,299,7.66,2,4,8,85,91,146
1,Yekti Asih Purwestri,21472,970,116,15.39,2,2,6,277,34,297
2,Tri Rini Nuringtyas,21396,5198,510,3.92,3,5,7,29,36,79
3,Woro Anindito Sri Tunjung,6021239,4378,455,4.73,5,5,8,51,38,68
4,Lisna Hidayati,6002859,28119,1341,0.15,0,0,1,0,6,0
5,Endang Semiarti,5973460,121,10,47.51,6,9,24,759,164,1109
6,Ari Indrianto,6142358,62088,1853,0.0,0,0,0,0,0,0
7,Eko Agus Suyono,42920,3381,367,6.2,3,4,17,21,50,43
8,Aries Bagus Sasongko,6017558,38524,1527,0.04,0,2,0,0,8,4
9,Matin Nuhamunada,6014421,11056,848,1.37,1,1,3,4,5,4
10,Suwarno Hadisusanto,6017929,5583,543,3.61,1,4,8,6,130,74
11,Tjut Sugandawaty Djohan,6015983,5049,503,4.04,2,5,3,40,124,132
12,Retno Peni Sancayaningsih,6004198,8557,720,2.04,1,3,6,1,103,39
13,Andhika Puspito Nugroho,5976983,5719,550,3.51,3,4,6,22,17,30
14,Siti Nurleily Marliana,42922,16023,1021,0.7,1,1,2,3,7,4
15,Mukhlish Jamal Musa Holle,6014471,86758,2073,0.0,0,0,0,0,2,0
16,Niken Satuti Nur Handayani,5973470,6397,591,3.05,1,4,8,1,81,31
17,Budi Setiadi Daryono,21420,1153,136,13.59,3,7,32,31,296,257
18,Tuty Arisuryanti,43298,23954,1236,0.25,0,2,1,0,23,11
19,Ganies Riza Aristya,5973150,72929,1971,0.0,0,0,0,0,3,0
20,Indra Lesmana,6023357,22845,1206,0.29,0,0,2,0,3,0
21,Agnes Endang Sutariningsih S,6020054,12931,919,1.05,1,4,2,1,49,48
22,Endah Retnaningrum,42921,12343,895,1.16,0,2,4,0,38,8
23,Miftahul Ilmi,258133,8804,733,1.96,2,2,4,7,7,12
24,Sari Darmasiwi,6014589,17922,1072,0.54,0,0,2,0,8,0
25,Abdul Rahman Siregar,5976797,49017,1690,0.01,0,1,0,0,4,1
26,Arief Muammar,6017987,62224,1856,0.0,0,0,0,0,5,0
27,Purnomo,257625,91504,2109,0.0,0,0,0,0,0,0
28,Rina Sri Kasiamdari,6003781,4349,450,4.76,2,4,7,33,78,99
29,Heri Sujadmiko,6017931,75071,1984,0.0,0,0,0,0,21,0
30,Ratna Susandarini,5991537,7531,657,2.44,1,2,5,8,24,17
31,Ludmilla Fitri Untari,5986653,31833,1413,0.09,0,2,0,0,10,9
32,Abdul Razaq Chasani,6014438,57795,1799,0.0,0,0,0,0,3,0
33,Laurentius Hartanto Nugroho,5977709,1332,159,12.26,5,8,16,114,72,230
34,Suharyanto,6017954,24707,1263,0.22,0,3,0,0,18,22
35,Maryani,6016534,2720,304,7.57,4,4,4,111,13,168
36,Sutikno,6038294,56053,1774,0.01,0,1,0,0,2,1
37,Siti Susanti,6038161,55608,1766,0.01,0,1,0,0,2,1
38,Sudjino,6017962,7472,653,2.47,0,5,0,0,97,252
39,Diah Rachmawati,6014449,3531,383,5.93,3,4,7,58,58,118
40,Kumala Dewi,5976559,4466,461,4.64,1,3,12,5,91,23
41,Dwi Umi Siswanti,6000546,45163,1642,0.02,0,1,0,0,9,2
42,Tri Joko,21491,5350,525,3.8,3,7,5,13,44,136
43,Bambang Agus Suripto,6043922,9018,746,1.89,0,6,2,0,35,163
44,Rury Eprilurahman,6000808,7594,664,2.41,2,3,5,11,41,27
45,Ratih Aryasari,6006315,33436,1440,0.08,0,1,0,0,2,8
46,Donan Satria Yudha,5981593,12413,898,1.14,1,1,3,9,19,10
47,Rr Upiek Ngesti Wibawaning A,6014643,22763,1205,0.29,0,2,1,0,18,15
48,Soenarwan Hery Poerwanto,6014439,17473,1058,0.57,0,1,2,0,46,3
49,Dila Hening Windyaraini,6014567,67472,1919,0.0,0,0,0,0,2,0
50,Johanes Sugiyanto,6014525,28480,1348,0.14,0,2,0,0,17,14
51,Ardaning Nuriliani,6037774,49691,1697,0.01,0,1,0,0,26,1
52,Susilohadi,6015704,5044,502,4.04,4,4,4,43,8,80
53,Zuliyati Rohmah,5988050,8834,735,1.95,2,3,4,7,27,11
54,Bambang Retnoaji,30059,4538,471,4.55,3,3,9,16,44,25
55,Hendry TSSG Saragih,258288,6486,600,2.99,2,2,6,16,17,26
56,Luthfi Nurhidayat,5973466,17905,1070,0.54,0,0,2,0,8,0
57,Mulyati,6025299,36087,1485,0.06,0,1,0,0,39,6
58,Slamet Widiyanto,5973465,48055,1679,0.02,0,1,0,0,18,2
59,Laksmindra Fitria,5976833,27736,1336,0.15,0,2,0,0,34,15
60,Nastiti Wijayanti,5972899,400,50,26.54,8,8,20,361,79,488
61,Rahadian Yudo Hartantyo,5976774,92133,2115,0.0,0,0,0,0,1,0
62,Fajar Sofyantoro,6073146,71294,1951,0.0,0,0,0,0,1,0
63,R C Hidayat Soesilohadi,6014250,21853,1179,0.33,0,4,0,0,39,34
64,Siti Sumarmi,6015468,48033,1678,0.02,0,1,0,0,19,2
65,Hari Purwanto,6015559,28721,1354,0.14,0,1,0,0,7,14
66,Sukirno,43311,8588,723,2.03,1,1,5,1,5,3
67,Ignatius Sudaryadi,5976838,76925,2002,0.0,0,0,0,0,0,0
