No,Nama,SINTA ID,Rank National,Rank Affiliation,Sinta Score,Scopus H-Index,Google H-Index,Scopus Art.,Scopus Cit.,Scholar Art.,Scholar Cit.
0,Sutiman Bambang Sumitro,5998175,543,13,22.44,5,8,38,127,100,255
1,Estri Laras Arumingtyas,5978827,7836,249,2.31,0,7,0,0,70,236
2,Fatchiyah,6137819,71660,1111,0,0,0,0,0,0,0
3,Muhaimin Rifa'i,6118973,126,3,47.2,9,12,32,696,119,1184
4,Sri Rahayu,5998293,14869,451,0.82,0,4,0,0,71,84
5,Serafinah Indriyani,5994014,14063,427,0.9,0,6,0,0,57,92
6,Wahyu Widoretno,6036949,7468,239,2.47,1,4,5,4,33,61
8,Luchman Hakim,6037433,2526,62,8.05,3,9,11,14,120,350
11,Endang Arisoesilaningsih,5998149,11879,370,1.23,0,6,0,0,75,125
12,Amin Setyo Leksono,5984023,2047,48,9.67,1,8,15,5,108,268
13,Mochammad Sasmito Djati,6036875,2724,66,7.57,4,6,15,30,76,127
14,Catur Retnaningdyah,5979040,10064,313,1.61,0,5,3,0,56,94
16,Widodo,5982480,97,2,52.48,13,14,65,529,105,787
18,Retno Mastuti,5982486,20018,569,0.41,0,4,0,0,26,42
19,Sri Widyarti,6037405,16419,486,0.66,0,5,0,0,45,67
21,Zulfaidah Penata Gama,5997951,11938,375,1.22,1,4,3,2,20,46
22,Nia Kurniawan,5998372,11655,364,1.26,0,6,0,0,68,129
26,Sofy Permana,5998405,20596,581,0.39,0,3,0,0,20,40
28,Irfan Mustafa,5997525,27405,697,0.16,0,1,1,0,8,1
29,Brian Rahardi,5979664,29458,725,0.12,0,2,0,0,14,12
31,Dian Siswanto,5996481,9332,289,1.79,2,4,4,12,25,25
32,Yoga Dwi Jatmiko,5998136,15867,466,0.72,1,2,2,3,5,6
15,Agung Pramana Warih Marhendra,6144044,9829,306,1.67,1,2,4,1,5,6
